municipal_norm,units_total,affordable_units,projects,transit_project_share,municipality,single_family_share,is_mbta,pop,hh,compliance_pct,nhwhi_p,nhaa_p,nhas_p,lat_p,affordable_share,units_per_1k_residents,zoning_bin
sharon,927,269.0,20,1.0,Sharon,98.4283190307621,1.0,308.0,1955.0,98.9,66.8,4.0,21.2,3.3,0.2901833872707659,3009.7402597402597,Moderately flexible
shelburne,9,0.0,1,1.0,Shelburne,,,,,,,,,,0.0,,Most flexible zoning
sherborn,226,61.0,5,1.0,Sherborn,99.8685208481675,1.0,408.0,1426.0,96.436,81.7,0.6,7.6,3.4,0.26991150442477874,553.921568627451,Moderately flexible
shirley,131,0.0,2,1.0,Shirley,,,,,,,,,,0.0,,Most flexible zoning
shrewsbury,1433,212.0,8,1.0,Shrewsbury,,,,,,,,,,0.1479413817166783,,Most flexible zoning
somerville,11118,1186.0,235,1.0,Somerville,0.0,1.0,79367.0,33203.0,98.509,65.2,5.2,10.6,11.3,0.10667386220543264,140.1,Most flexible zoning
south hadley,83,64.0,4,1.0,South Hadley,,,,,,,,,,0.7710843373493976,,Most flexible zoning
southborough,369,191.0,9,1.0,Southborough,0.0,1.0,314.0,335.0,96.912,75.5,1.0,14.5,3.6,0.5176151761517616,1175.15923566879,Most flexible zoning
southwick,78,0.0,1,1.0,Southwick,,,,,,,,,,0.0,,Most flexible zoning
spencer,42,42.0,1,1.0,Spencer,,,,,,,,,,1.0,,Most flexible zoning
springfield,1841,763.0,21,1.0,Springfield,,,,,,,,,,0.4144486692015209,,Most flexible zoning
sterling,116,72.0,2,1.0,Sterling,,,,,,,,,,0.6206896551724138,,Most flexible zoning
stoneham,1075,735.0,13,1.0,Stoneham,0.0,1.0,962.0,756.0,97.798,81.4,2.8,6.5,4.2,0.6837209302325581,1117.4636174636175,Most flexible zoning
stoughton,994,0.0,7,1.0,Stoughton,87.6513548739784,1.0,1154.0,1042.0,88.198,61.0,17.3,5.4,6.6,0.0,861.3518197573657,Moderately flexible
stow,540,35.0,15,1.0,Stow,0.0345961613154492,1.0,537.0,1506.0,97.299,85.7,0.9,4.3,3.6,0.06481481481481481,1005.586592178771,Most flexible zoning
sudbury,860,366.0,15,1.0,Sudbury,99.780012299142,1.0,515.0,1323.0,97.35,80.9,1.3,9.0,3.6,0.4255813953488372,1669.902912621359,Moderately flexible
sunderland,181,183.0,2,1.0,Sunderland,,,,,,,,,,1.011049723756906,,Most flexible zoning
sutton,243,70.0,2,1.0,Sutton,,,,,,,,,,0.2880658436213992,,Most flexible zoning
swampscott,468,82.0,16,1.0,Swampscott,77.8499666112588,1.0,966.0,1384.0,95.734,85.8,1.7,2.2,6.6,0.1752136752136752,484.472049689441,Moderately flexible
taunton,126,38.0,2,1.0,Taunton,,,,,,,,,,0.30158730158730157,,Most flexible zoning
tewksbury,811,0.0,19,1.0,Tewksbury,,,,,,,,,,0.0,,Most flexible zoning
tisbury,16,10.0,4,1.0,Tisbury,,,,,,,,,,0.625,,Most flexible zoning
topsfield,100,0.0,2,1.0,Topsfield,98.9609131510746,1.0,212.0,1128.0,96.375,90.0,0.7,1.8,4.1,0.0,471.6981132075472,Moderately flexible
truro,40,21.0,1,1.0,Truro,,,,,,,,,,0.525,,Most flexible zoning
