municipal_norm,municipality,population,pct_inc_low,pct_inc_mid,pct_inc_high,units_per_1k_residents
acton,Acton,1090.0,13.762486126526083,33.46281908990011,52.77469478357381,1100.0
arlington,Arlington,653.0,21.51690024732069,44.682605111294315,33.800494641384994,1396.6309341500769
ashland,Ashland,646.0,7.616892911010558,41.515837104072396,50.867269984917044,1791.0216718266254
bedford,Bedford,875.0,4.299065420560748,36.26168224299065,59.4392523364486,818.2857142857143
bellingham,Bellingham,604.0,7.373271889400922,41.65898617511521,50.96774193548387,99.33774834437084
belmont,Belmont,231.0,8.211143695014663,23.46041055718475,68.32844574780059,1883.1168831168832
beverly,Beverly,752.0,32.903225806451616,32.774193548387096,34.32258064516129,2902.925531914894
bolton,Bolton,169.0,9.100310237849017,29.98965873836608,60.9100310237849,2402.3668639053253
boston,Boston,1369.0,31.550802139037433,53.297682709447415,15.151515151515152,80617.2388604821
boxborough,Boxborough,369.0,8.966861598440547,38.10916179337232,52.92397660818713,1062.330623306233
braintree,Braintree,924.0,8.333333333333334,44.94949494949495,46.717171717171716,2506.493506493506
brookline,Brookline,796.0,4.96,38.24,56.8,1912.0603015075376
cambridge,Cambridge,413.0,14.942528735632184,49.936143039591315,35.1213282247765,42842.61501210654
canton,Canton,492.0,19.59578207381371,37.521968365553604,42.88224956063269,3782.520325203252
carlisle,Carlisle,380.0,7.1805702217529035,24.920802534318902,67.89862724392819,557.8947368421052
cohasset,Cohasset,679.0,24.476439790575917,41.753926701570684,33.769633507853406,537.5552282768778
concord,Concord,392.0,5.925925925925926,37.03703703703704,57.03703703703704,2721.9387755102043
danvers,Danvers,95.0,16.562889165628892,51.86799501867995,31.56911581569116,15021.052631578948
dedham,Dedham,119.0,10.444874274661508,41.19922630560929,48.355899419729205,3504.201680672269
duxbury,Duxbury,579.0,16.929133858267715,19.094488188976378,63.976377952755904,873.9205526770294
essex,Essex,414.0,9.243697478991596,50.21008403361345,40.54621848739496,787.4396135265702
foxborough,Foxborough,695.0,14.185502727981294,65.23772408417771,20.576773187841,1277.697841726619
framingham,Framingham,696.0,27.855477855477854,33.68298368298368,38.46153846153846,5034.482758620689
franklin,Franklin,1324.0,6.150061500615006,20.17220172201722,73.67773677736777,608.0060422960725
gloucester,Gloucester,854.0,7.743216412971542,56.12177365982793,36.13500992720053,601.8735362997658
