id,user_id,rdv,asofright,ovr55,clusteros,phased,stalled,name,status,descr,prj_url,address,state,zip_code,height,stories,year_compl,prjarea,singfamhu,smmultifam,lgmultifam,hu,gqpop,rptdemp,commsf,hotelrms,onsitepark,total_cost,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,latitude,longitude,mixed_use,created_at,updated_at,municipal,devlper,yrcomp_est,units_1bd,units_2bd,units_3bd,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,headqtrs,park_type,publicsqft,unknownhu,aff_unknown,unk_sqft,loc_id,parcel_fy,rpa_name,county,nhood,n_transit,mepa_id,traffic_count_data,mepa_id_present,traffic_count_data_present
4650,483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70 BURBANK,completed,18 units ,,70 Burbank Road,MA,01590,,,2013,,0,0,18,18,0,,0,0,,,0,0,0,0,0,0,0,0,42.15875337,-71.75283217,FALSE,2019-04-08 18:12:57 UTC,2019-04-08 18:12:57 UTC,Sutton,,FALSE,,,,0,0,0,0,0,FALSE,,0,,,0,F_587620_2883021,,Central Massachusetts Regional Planning Commission,Worcester,,[],,,,
3686,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24-26 Hichborn Street,completed," The proposed project would be situated on approximately 10,639 sf of land and creates a new five-story building containing 20 residential units with approximately 1,774 sf of ground-floor commercial space, all served by 26 garage parking spaces.",,24-26 Hichborn Street,MA,02135,55,5,2019,,0,0,20,20,0,,1774,0,26,11300000,1774,0,0,0,0,0,0,0,42.35576102,-71.14395,TRUE,2016-04-15 17:51:46 UTC,2020-01-09 17:39:39 UTC,Boston,"24-26 Hichborn Street, LLC",FALSE,,4,16,3,0,0,0,3,FALSE,garage,0,,,,M_229333_900647,2017,Metropolitan Area Planning Council,Suffolk,Brighton,"[""Commuter Rail: Boston Landing""]",,,,
3688,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,235 Lowell Street,completed,"Three story, six units.",https://www.somervillema.gov/sites/default/files/legacy/documents/rnd/Lowell%20St%20235%20-%20Staff%20Report%20(POST).pdf,235 Lowell Street,MA,02144,39,3,2018,,0,0,6,6,0,,0,0,6,,0,0,0,0,0,0,0,0,42.392033,-71.1064237,FALSE,2016-04-28 21:12:23 UTC,2019-11-22 17:08:08 UTC,Somerville,Edward Doherty,FALSE,2,4,,0,0,0,0,0,FALSE,,0,,,,F_762486_2968132,2013,Metropolitan Area Planning Council,Middlesex,Spring Hill,"[""Rapid Transit: Lowell Street Glx""]",,,,
3689,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,345 Medford Street,planning,Seems to be stalled: https://tkgeast.com/portfolio/good-gas-residences/.,,345 Medford Street,MA,02145,,,2030,,0,0,20,20,0,,4000,,,,4000,0,0,0,0,0,0,,42.3886961,-71.09636047,TRUE,2016-05-06 15:51:24 UTC,2024-08-21 19:09:37 UTC,Somerville,,FALSE,,,,,,,,,FALSE,,,,,,F_765210_2966929,2013,Metropolitan Area Planning Council,Middlesex,Winter Hill,"[""Rapid Transit: Gilman Square Glx""]",,,FALSE,FALSE
3754,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9 Glen Street,completed," New duplex with two townhouses, 1,800 SF each, three bedrooms, two 2-car garages, and four additional off-street spaces. ",,9 Glen Street,MA,01702,,,2015,,0,2,0,2,0,,0,,4,,0,0,0,0,0,0,0,,42.27292433,-71.39641335,FALSE,2014-12-05 19:06:28 UTC,2018-04-24 22:35:18 UTC,Framingham,,FALSE,,,2,,,,,,FALSE,garage,,,,,M_208546_891390,2012,Metropolitan Area Planning Council,Middlesex,,"[""RTA: MWRTA""]",,,,
4651,483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,865 LAGRANGE,completed,7 units,,865 Lagrange Street,MA,02132,,,2012,,0,0,7,7,0,,0,0,,,0,0,0,0,0,0,0,0,42.29342595,-71.17020524,FALSE,2019-04-08 18:15:45 UTC,2019-04-08 18:15:45 UTC,Boston,,FALSE,,,,0,0,0,0,0,FALSE,,0,,0,0,M_227196_893723,,Metropolitan Area Planning Council,Suffolk,West Roxbury,[],,,,
3702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Academy Hill,completed,r,http://www.academyhillhomes.com/,Magnolia Ln,MA,01450,,,2018,,46,24,0,70,0,,0,0,,,0,0,0,0,0,0,0,0,42.63440477,-71.64366075,FALSE,2015-01-30 18:27:16 UTC,2020-02-28 00:15:05 UTC,Groton,,FALSE,,,,0,0,0,0,0,FALSE,,0,,,,F_617496_3056069,2011,Montachusett Regional Planning Commission,Middlesex,,[],,,,
3709,256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,438 Waverly St,planning,First floor commercial use and second floor two residential units.,,"438 Waverly Street, Framingham, MA, United States",MA,01702,,,2022,,0,2,0,2,,,2500,,4,,2500,0,0,0,0,0,0,0,42.27624523,-71.41757335,TRUE,2017-03-22 21:09:00 UTC,2020-02-28 00:20:45 UTC,Framingham,Whitewood Ventures,TRUE,,,,,,,,,FALSE,,,,,,M_206799_891759,2012,Metropolitan Area Planning Council,Middlesex,,"[""Commuter Rail: Framingham""]",,,,
3700,256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16 Boardman St,completed,19-unit condominium building The proposed project consists of the demolition of the existing residential structure on the site and the construction of a new residential building with 19 condominium units and 27 off-street parking spaces.,,"16 Boardman Street, Boston, MA, United States",MA,02128,,,2019,,0,0,19,19,0,,0,0,27,,0,0,0,0,0,0,0,0,42.38745093,-71.00883664,FALSE,2017-03-01 21:48:31 UTC,2020-01-24 17:20:36 UTC,Boston,,FALSE,,,,2,0,0,0,2,FALSE,,0,,,,M_240444_904221,2017,Metropolitan Area Planning Council,Suffolk,East Boston,"[""Rapid Transit: Orient Heights""]",,,,
5312,660,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,New England Heritage Homes ,in_construction,"16 affordable condos across 7 parcels near Codman Square. The New England Heritage Homes is a proposed affordable home-ownership project of 16 mixed-income fee-simple units located in the Talbot Norfolk Triangle Neighborhood of Codman Square in Dorchester, with 9 new buildings (7 attached duplexes, 2 single family homes). Developed by Codman Square Neighborhood Development Corporation. 2 and 3 BRs units, 8 sold at or <80% AMI, 8 sold at or <100% AMI, 20 parking spaces and bike storage. ** http://www.bostonplans.org/getattachment/9b88452f-01d2-4f10-a7da-f86503d0d4a5***A MACDC Goal listed development.https://www.bldup.com/projects/new-england-heritage-homes",http://www.bostonplans.org/projects/development-projects/new-england-heritage-homes,Southern Avenue,MA,02124,,3,2030,,0,0,16,16,0,,0,0,17,7482513,0,0,0,0,0,0,0,0,42.28965222,-71.07805028,FALSE,2020-11-03 16:06:44 UTC,2022-04-06 18:20:30 UTC,Boston,Codman Square NDC,TRUE,,,,16,16,0,0,0,FALSE,,0,,0,0,M_234799_893330,,Metropolitan Area Planning Council,Suffolk,Dorchester,"[""Commuter Rail: Talbot Avenue""]",,,FALSE,FALSE
